Staff No,FirstName,LastName,Gender,Date of Birth,Category,Role/Designation,Department,Class Teacher Of,Subjects,Qualification,TSC No,Phone,Email,Date Employed,Years of Service,Monthly Salary (KES)
STF-011,Kelvin,Kiprotich,Male,1992-03-14,Teaching,Class Teacher — Grade 5 A,Upper Primary,Grade 5 A,Science & Technology; Social Studies,B.Sc (Education),TSC/895864/10,0700121352,kelvin.kiprotich@baptistprep.co.ke,2016-11-22,10,58000
STF-012,Beatrice,Achieng,Female,1991-10-02,Teaching,Class Teacher — Grade 5 B,Upper Primary,Grade 5 B,Kiswahili; Religious Education,B.Ed (Kiswahili),TSC/583775/11,0700176611,beatrice.achieng@baptistprep.co.ke,2015-01-22,11,57000
STF-013,Vincent,Mwangi,Male,1987-07-21,Teaching,Class Teacher — Grade 6 A,Upper Primary,Grade 6 A,Mathematics; Physical & Health Education,B.Ed (Mathematics),TSC/832569/15,0700340667,vincent.mwangi@baptistprep.co.ke,2011-12-28,15,70000
STF-014,Hannah,Nafula,Female,1994-09-09,Teaching,Class Teacher — Grade 6 B,Upper Primary,Grade 6 B,English; Social Studies,B.Ed (Primary),TSC/531997/8,0700030186,hannah.nafula@baptistprep.co.ke,2018-09-03,8,55000
STF-015,Emmanuel,Kipruto,Male,1989-11-11,Teaching,Class Teacher — Grade 7 A,Junior Secondary,Grade 7 A,Mathematics; Pre-Technical & Pre-Career Studies,B.Ed (Mathematics),TSC/722731/13,0700661835,emmanuel.kipruto@baptistprep.co.ke,2013-04-01,13,74000
STF-016,Caroline,Muthoni,Female,1992-04-04,Teaching,Class Teacher — Grade 7 B,Junior Secondary,Grade 7 B,Integrated Science; Agriculture & Nutrition,B.Ed (Science),TSC/525666/10,0700652280,caroline.muthoni@baptistprep.co.ke,2016-06-13,10,70000
STF-017,Timothy,Odhiambo,Male,1990-08-08,Teaching,Class Teacher — Grade 7 C,Junior Secondary,Grade 7 C,Social Studies; Life Skills Education,B.Ed (Social Studies),TSC/831326/12,0700418188,timothy.odhiambo@baptistprep.co.ke,2014-03-18,12,68000
STF-018,Winnie,Chepkemoi,Female,1991-12-25,Teaching,Class Teacher — Grade 8 A,Junior Secondary,Grade 8 A,Kiswahili; Religious Education,B.Ed (Kiswahili),TSC/580635/11,0700376225,winnie.chepkemoi@baptistprep.co.ke,2015-09-19,11,66000
STF-019,George,Njuguna,Male,1988-06-06,Teaching,Class Teacher — Grade 8 B,Junior Secondary,Grade 8 B,English; Creative Arts & Sports,B.Ed (English),TSC/490648/14,0700943059,george.njuguna@baptistprep.co.ke,2012-06-01,14,72000
STF-020,Esther,Koskei,Female,1993-02-14,Teaching,Class Teacher — Grade 9 A,Junior Secondary,Grade 9 A,Computer Science; Mathematics,"B.Sc (Computer Science), PGDE",TSC/849565/9,0700535356,esther.koskei@baptistprep.co.ke,2017-07-12,9,76000
STF-021,Daniel,Mutua,Male,1989-03-03,Teaching,Class Teacher — Grade 9 B,Junior Secondary,Grade 9 B,Integrated Science; Home Science,B.Ed (Science),TSC/608813/13,0700569783,daniel.mutua@baptistprep.co.ke,2013-12-15,13,71000
STF-022,Paul,Ochola,Male,1980-05-20,Non-Teaching,Deputy Head Teacher,Administration,,,B.Ed (Administration),,0700463005,paul.ochola@baptistprep.co.ke,2008-10-28,18,85000
STF-023,Rebecca,Wanjala,Female,1984-10-10,Non-Teaching,Bursar / Finance Officer,Finance,,,"CPA (K), B.Com (Accounting)",,0700631691,rebecca.wanjala@baptistprep.co.ke,2011-01-01,15,78000
STF-024,Michael,Kipkorir,Male,1985-03-30,Non-Teaching,ICT & Records Officer,ICT,,,B.Sc (IT),,0700492506,michael.kipkorir@baptistprep.co.ke,2014-11-10,12,55000
STF-025,Susan,Akinyi,Female,1988-07-07,Non-Teaching,School Nurse,Health,,,KRCHN Diploma,,0700462118,susan.akinyi@baptistprep.co.ke,2013-07-25,13,50000
STF-026,Joseph,Kibet,Male,1990-01-01,Non-Teaching,Librarian,Library,,,Dip. Library & Information Science,,0700957193,joseph.kibet@baptistprep.co.ke,2017-11-09,9,42000
STF-027,Monica,Wanjiru,Female,1992-12-12,Non-Teaching,Receptionist / Secretary,Administration,,,Cert. Secretarial Studies,,0700394397,monica.wanjiru@baptistprep.co.ke,2019-03-16,7,35000
STF-028,Grace,Mwikali,Female,1978-09-09,Non-Teaching,Cook / Caterer,Catering,,,Cert. Food & Beverage,,0700190397,grace.mwikali@baptistprep.co.ke,2010-04-09,16,30000
STF-029,John,Ndirangu,Male,1983-11-11,Non-Teaching,School Bus Driver,Transport,,,Class BCE Driving Licence,,0700761861,john.ndirangu@baptistprep.co.ke,2012-07-15,14,38000
STF-030,Stephen,Kinyanjui,Male,1986-04-04,Non-Teaching,Security Guard,Security,,,Cert. Security Management,,0700525454,stephen.kinyanjui@baptistprep.co.ke,2018-11-04,8,26000
