Admission No,Student Name,Class,Term,Year,Subject,Score,Grade,Class Rank,Teacher Comment
ADM-1007,Abigail Mutuku,Grade 1 A,Term 1,2026,English,58,C+,32,Very good performance. Focus on the few weak areas.
ADM-1007,Abigail Mutuku,Grade 1 A,Term 1,2026,Kiswahili,72,B+,17,Steady progress. Do more revision.
ADM-1007,Abigail Mutuku,Grade 1 A,Term 1,2026,Mathematics,46,C-,33,Very good performance. Focus on the few weak areas.
ADM-1007,Abigail Mutuku,Grade 1 A,Term 1,2026,Environmental Activities,54,C,32,Steady progress. Do more revision.
ADM-1007,Abigail Mutuku,Grade 1 A,Term 1,2026,Religious Education,54,C,30,Very good performance. Focus on the few weak areas.
ADM-1007,Abigail Mutuku,Grade 1 A,Term 1,2026,Creative Activities,65,B,27,Satisfactory. Needs consistent practice.
ADM-1007,Abigail Mutuku,Grade 1 A,Term 1,2026,Physical & Health Education,50,C,32,Excellent work. Keep it up!
ADM-1008,Eric Odera,Grade 1 A,Term 1,2026,English,64,B-,28,Very good performance. Focus on the few weak areas.
ADM-1008,Eric Odera,Grade 1 A,Term 1,2026,Kiswahili,68,B,21,Excellent work. Keep it up!
ADM-1008,Eric Odera,Grade 1 A,Term 1,2026,Mathematics,64,B-,28,Average. Put more effort into homework.
ADM-1008,Eric Odera,Grade 1 A,Term 1,2026,Environmental Activities,70,B+,20,Excellent work. Keep it up!
ADM-1008,Eric Odera,Grade 1 A,Term 1,2026,Religious Education,65,B,21,Average. Put more effort into homework.
ADM-1008,Eric Odera,Grade 1 A,Term 1,2026,Creative Activities,70,B+,21,Satisfactory. Needs consistent practice.
ADM-1008,Eric Odera,Grade 1 A,Term 1,2026,Physical & Health Education,82,A,8,Average. Put more effort into homework.
ADM-1009,Dorcas Bakari,Grade 1 A,Term 1,2026,English,68,B,23,Satisfactory. Needs consistent practice.
ADM-1009,Dorcas Bakari,Grade 1 A,Term 1,2026,Kiswahili,59,C+,30,Steady progress. Do more revision.
ADM-1009,Dorcas Bakari,Grade 1 A,Term 1,2026,Mathematics,62,B-,29,Excellent work. Keep it up!
ADM-1009,Dorcas Bakari,Grade 1 A,Term 1,2026,Environmental Activities,60,B-,27,Very good performance. Focus on the few weak areas.
ADM-1009,Dorcas Bakari,Grade 1 A,Term 1,2026,Religious Education,54,C,31,Average. Put more effort into homework.
ADM-1009,Dorcas Bakari,Grade 1 A,Term 1,2026,Creative Activities,69,B,22,Average. Put more effort into homework.
ADM-1009,Dorcas Bakari,Grade 1 A,Term 1,2026,Physical & Health Education,53,C,28,Average. Put more effort into homework.
ADM-1010,Kevin Pashua,Grade 1 A,Term 1,2026,English,86,A,5,Steady progress. Do more revision.
ADM-1010,Kevin Pashua,Grade 1 A,Term 1,2026,Kiswahili,100,A,1,Performs well under guidance. Keep practising.
ADM-1010,Kevin Pashua,Grade 1 A,Term 1,2026,Mathematics,79,A-,8,Needs significant improvement. Revise earlier topics.
ADM-1010,Kevin Pashua,Grade 1 A,Term 1,2026,Environmental Activities,87,A,4,Satisfactory. Needs consistent practice.
ADM-1010,Kevin Pashua,Grade 1 A,Term 1,2026,Religious Education,83,A,6,Below average. Extra tuition recommended.
ADM-1010,Kevin Pashua,Grade 1 A,Term 1,2026,Creative Activities,89,A,3,Performs well under guidance. Keep practising.
ADM-1010,Kevin Pashua,Grade 1 A,Term 1,2026,Physical & Health Education,80,A,10,Good effort. Can improve with more practice.
ADM-1011,Winfred Bakari,Grade 1 A,Term 1,2026,English,70,B+,18,Average. Put more effort into homework.
ADM-1011,Winfred Bakari,Grade 1 A,Term 1,2026,Kiswahili,80,A,8,Below average. Extra tuition recommended.
ADM-1011,Winfred Bakari,Grade 1 A,Term 1,2026,Mathematics,65,B,21,Average. Put more effort into homework.
ADM-1011,Winfred Bakari,Grade 1 A,Term 1,2026,Environmental Activities,82,A,7,Very good performance. Focus on the few weak areas.
ADM-1011,Winfred Bakari,Grade 1 A,Term 1,2026,Religious Education,63,B-,23,Good effort. Can improve with more practice.
ADM-1011,Winfred Bakari,Grade 1 A,Term 1,2026,Creative Activities,60,B-,30,Average. Put more effort into homework.
ADM-1011,Winfred Bakari,Grade 1 A,Term 1,2026,Physical & Health Education,71,B+,19,Average. Put more effort into homework.
ADM-1012,Diana Khaemba,Grade 1 A,Term 1,2026,English,68,B,24,Good effort. Can improve with more practice.
ADM-1012,Diana Khaemba,Grade 1 A,Term 1,2026,Kiswahili,51,C,34,Very good performance. Focus on the few weak areas.
ADM-1012,Diana Khaemba,Grade 1 A,Term 1,2026,Mathematics,65,B,22,Steady progress. Do more revision.
ADM-1012,Diana Khaemba,Grade 1 A,Term 1,2026,Environmental Activities,53,C,33,Steady progress. Do more revision.
ADM-1012,Diana Khaemba,Grade 1 A,Term 1,2026,Religious Education,56,C+,29,Very good performance. Focus on the few weak areas.
ADM-1012,Diana Khaemba,Grade 1 A,Term 1,2026,Creative Activities,49,C-,33,Excellent work. Keep it up!
ADM-1012,Diana Khaemba,Grade 1 A,Term 1,2026,Physical & Health Education,53,C,29,Excellent work. Keep it up!
ADM-1013,Purity Nzioka,Grade 1 A,Term 1,2026,English,82,A,6,Satisfactory. Needs consistent practice.
ADM-1013,Purity Nzioka,Grade 1 A,Term 1,2026,Kiswahili,79,A-,9,Excellent work. Keep it up!
ADM-1013,Purity Nzioka,Grade 1 A,Term 1,2026,Mathematics,72,B+,15,Excellent work. Keep it up!
ADM-1013,Purity Nzioka,Grade 1 A,Term 1,2026,Environmental Activities,76,A-,16,Satisfactory. Needs consistent practice.
ADM-1013,Purity Nzioka,Grade 1 A,Term 1,2026,Religious Education,95,A,1,Excellent work. Keep it up!
ADM-1013,Purity Nzioka,Grade 1 A,Term 1,2026,Creative Activities,76,A-,9,Steady progress. Do more revision.
ADM-1013,Purity Nzioka,Grade 1 A,Term 1,2026,Physical & Health Education,71,B+,20,Very good performance. Focus on the few weak areas.
ADM-1014,Eric Mutoro,Grade 1 A,Term 1,2026,English,69,B,20,Steady progress. Do more revision.
ADM-1014,Eric Mutoro,Grade 1 A,Term 1,2026,Kiswahili,55,C+,31,Average. Put more effort into homework.
ADM-1014,Eric Mutoro,Grade 1 A,Term 1,2026,Mathematics,86,A,4,Performs well under guidance. Keep practising.
ADM-1014,Eric Mutoro,Grade 1 A,Term 1,2026,Environmental Activities,70,B+,21,Excellent work. Keep it up!
ADM-1014,Eric Mutoro,Grade 1 A,Term 1,2026,Religious Education,79,A-,11,Very good performance. Focus on the few weak areas.
ADM-1014,Eric Mutoro,Grade 1 A,Term 1,2026,Creative Activities,72,B+,16,Very good performance. Focus on the few weak areas.
ADM-1014,Eric Mutoro,Grade 1 A,Term 1,2026,Physical & Health Education,87,A,3,Below average. Extra tuition recommended.
ADM-1015,Yvonne Kariuki,Grade 1 A,Term 1,2026,English,69,B,21,Average. Put more effort into homework.
ADM-1015,Yvonne Kariuki,Grade 1 A,Term 1,2026,Kiswahili,67,B,24,Average. Put more effort into homework.
ADM-1015,Yvonne Kariuki,Grade 1 A,Term 1,2026,Mathematics,73,B+,12,Satisfactory. Needs consistent practice.
ADM-1015,Yvonne Kariuki,Grade 1 A,Term 1,2026,Environmental Activities,79,A-,10,Very good performance. Focus on the few weak areas.
ADM-1015,Yvonne Kariuki,Grade 1 A,Term 1,2026,Religious Education,69,B,18,Satisfactory. Needs consistent practice.
ADM-1015,Yvonne Kariuki,Grade 1 A,Term 1,2026,Creative Activities,75,A-,12,Needs significant improvement. Revise earlier topics.
ADM-1015,Yvonne Kariuki,Grade 1 A,Term 1,2026,Physical & Health Education,66,B,27,Satisfactory. Needs consistent practice.
ADM-1016,John Lugalia,Grade 1 A,Term 1,2026,English,76,A-,11,Steady progress. Do more revision.
ADM-1016,John Lugalia,Grade 1 A,Term 1,2026,Kiswahili,66,B,25,Good effort. Can improve with more practice.
ADM-1016,John Lugalia,Grade 1 A,Term 1,2026,Mathematics,65,B,23,Steady progress. Do more revision.
ADM-1016,John Lugalia,Grade 1 A,Term 1,2026,Environmental Activities,81,A,8,Steady progress. Do more revision.
ADM-1016,John Lugalia,Grade 1 A,Term 1,2026,Religious Education,61,B-,25,Steady progress. Do more revision.
ADM-1016,John Lugalia,Grade 1 A,Term 1,2026,Creative Activities,75,A-,13,Performs well under guidance. Keep practising.
ADM-1016,John Lugalia,Grade 1 A,Term 1,2026,Physical & Health Education,76,A-,15,Performs well under guidance. Keep practising.
ADM-1017,Fridah Oluoch,Grade 1 A,Term 1,2026,English,78,A-,10,Very good performance. Focus on the few weak areas.
ADM-1017,Fridah Oluoch,Grade 1 A,Term 1,2026,Kiswahili,84,A,4,Average. Put more effort into homework.
ADM-1017,Fridah Oluoch,Grade 1 A,Term 1,2026,Mathematics,91,A,1,Excellent work. Keep it up!
ADM-1017,Fridah Oluoch,Grade 1 A,Term 1,2026,Environmental Activities,87,A,5,Average. Put more effort into homework.
ADM-1017,Fridah Oluoch,Grade 1 A,Term 1,2026,Religious Education,87,A,4,Needs significant improvement. Revise earlier topics.
ADM-1017,Fridah Oluoch,Grade 1 A,Term 1,2026,Creative Activities,99,A,2,Shows understanding of key concepts.
ADM-1017,Fridah Oluoch,Grade 1 A,Term 1,2026,Physical & Health Education,92,A,1,Below average. Extra tuition recommended.
ADM-1018,Charity Sichangi,Grade 1 A,Term 1,2026,English,72,B+,15,Average. Put more effort into homework.
ADM-1018,Charity Sichangi,Grade 1 A,Term 1,2026,Kiswahili,68,B,22,Satisfactory. Needs consistent practice.
ADM-1018,Charity Sichangi,Grade 1 A,Term 1,2026,Mathematics,68,B,19,Good effort. Can improve with more practice.
ADM-1018,Charity Sichangi,Grade 1 A,Term 1,2026,Environmental Activities,58,C+,29,Very good performance. Focus on the few weak areas.
ADM-1018,Charity Sichangi,Grade 1 A,Term 1,2026,Religious Education,49,C-,34,Satisfactory. Needs consistent practice.
ADM-1018,Charity Sichangi,Grade 1 A,Term 1,2026,Creative Activities,50,C,32,Very good performance. Focus on the few weak areas.
ADM-1018,Charity Sichangi,Grade 1 A,Term 1,2026,Physical & Health Education,75,A-,16,Excellent work. Keep it up!
ADM-1019,Stephen Kinyua,Grade 1 A,Term 1,2026,English,81,A,7,Performs well under guidance. Keep practising.
ADM-1019,Stephen Kinyua,Grade 1 A,Term 1,2026,Kiswahili,66,B,26,Excellent work. Keep it up!
ADM-1019,Stephen Kinyua,Grade 1 A,Term 1,2026,Mathematics,65,B,24,Satisfactory. Needs consistent practice.
ADM-1019,Stephen Kinyua,Grade 1 A,Term 1,2026,Environmental Activities,79,A-,11,Good effort. Can improve with more practice.
ADM-1019,Stephen Kinyua,Grade 1 A,Term 1,2026,Religious Education,76,A-,12,Below average. Extra tuition recommended.
ADM-1019,Stephen Kinyua,Grade 1 A,Term 1,2026,Creative Activities,87,A,5,Below average. Extra tuition recommended.
ADM-1019,Stephen Kinyua,Grade 1 A,Term 1,2026,Physical & Health Education,74,B+,18,Satisfactory. Needs consistent practice.
ADM-1020,James Mganga,Grade 1 A,Term 1,2026,English,72,B+,16,Average. Put more effort into homework.
ADM-1020,James Mganga,Grade 1 A,Term 1,2026,Kiswahili,63,B-,28,Satisfactory. Needs consistent practice.
ADM-1020,James Mganga,Grade 1 A,Term 1,2026,Mathematics,74,B+,11,Satisfactory. Needs consistent practice.
ADM-1020,James Mganga,Grade 1 A,Term 1,2026,Environmental Activities,71,B+,19,Satisfactory. Needs consistent practice.
ADM-1020,James Mganga,Grade 1 A,Term 1,2026,Religious Education,88,A,3,Average. Put more effort into homework.
ADM-1020,James Mganga,Grade 1 A,Term 1,2026,Creative Activities,67,B,25,Satisfactory. Needs consistent practice.
ADM-1020,James Mganga,Grade 1 A,Term 1,2026,Physical & Health Education,75,A-,17,Needs significant improvement. Revise earlier topics.
ADM-1021,Brenda Oduor,Grade 1 A,Term 1,2026,English,80,A,8,Shows understanding of key concepts.
ADM-1021,Brenda Oduor,Grade 1 A,Term 1,2026,Kiswahili,76,A-,14,Shows understanding of key concepts.
ADM-1021,Brenda Oduor,Grade 1 A,Term 1,2026,Mathematics,78,A-,9,Satisfactory. Needs consistent practice.
ADM-1021,Brenda Oduor,Grade 1 A,Term 1,2026,Environmental Activities,79,A-,12,Excellent work. Keep it up!
ADM-1021,Brenda Oduor,Grade 1 A,Term 1,2026,Religious Education,68,B,19,Excellent work. Keep it up!
ADM-1021,Brenda Oduor,Grade 1 A,Term 1,2026,Creative Activities,68,B,24,Excellent work. Keep it up!
ADM-1021,Brenda Oduor,Grade 1 A,Term 1,2026,Physical & Health Education,51,C,30,Satisfactory. Needs consistent practice.
ADM-1022,Kiplangat Wafula,Grade 1 A,Term 1,2026,English,91,A,2,Steady progress. Do more revision.
ADM-1022,Kiplangat Wafula,Grade 1 A,Term 1,2026,Kiswahili,91,A,2,Satisfactory. Needs consistent practice.
ADM-1022,Kiplangat Wafula,Grade 1 A,Term 1,2026,Mathematics,87,A,3,Good effort. Can improve with more practice.
ADM-1022,Kiplangat Wafula,Grade 1 A,Term 1,2026,Environmental Activities,100,A,1,Performs well under guidance. Keep practising.
ADM-1022,Kiplangat Wafula,Grade 1 A,Term 1,2026,Religious Education,94,A,2,Satisfactory. Needs consistent practice.
ADM-1022,Kiplangat Wafula,Grade 1 A,Term 1,2026,Creative Activities,100,A,1,Excellent work. Keep it up!
ADM-1022,Kiplangat Wafula,Grade 1 A,Term 1,2026,Physical & Health Education,89,A,2,Needs significant improvement. Revise earlier topics.
ADM-1023,Karen Makokha,Grade 1 A,Term 1,2026,English,67,B,26,Satisfactory. Needs consistent practice.
ADM-1023,Karen Makokha,Grade 1 A,Term 1,2026,Kiswahili,68,B,23,Very good performance. Focus on the few weak areas.
ADM-1023,Karen Makokha,Grade 1 A,Term 1,2026,Mathematics,83,A,6,Performs well under guidance. Keep practising.
ADM-1023,Karen Makokha,Grade 1 A,Term 1,2026,Environmental Activities,79,A-,13,Shows understanding of key concepts.
ADM-1023,Karen Makokha,Grade 1 A,Term 1,2026,Religious Education,63,B-,24,Very good performance. Focus on the few weak areas.
ADM-1023,Karen Makokha,Grade 1 A,Term 1,2026,Creative Activities,78,A-,7,Good effort. Can improve with more practice.
ADM-1023,Karen Makokha,Grade 1 A,Term 1,2026,Physical & Health Education,69,B,23,Average. Put more effort into homework.
ADM-1024,Tabitha Ndungu,Grade 1 A,Term 1,2026,English,54,C,33,Very good performance. Focus on the few weak areas.
ADM-1024,Tabitha Ndungu,Grade 1 A,Term 1,2026,Kiswahili,53,C,32,Satisfactory. Needs consistent practice.
ADM-1024,Tabitha Ndungu,Grade 1 A,Term 1,2026,Mathematics,48,C-,32,Very good performance. Focus on the few weak areas.
ADM-1024,Tabitha Ndungu,Grade 1 A,Term 1,2026,Environmental Activities,61,B-,26,Steady progress. Do more revision.
ADM-1024,Tabitha Ndungu,Grade 1 A,Term 1,2026,Religious Education,52,C,33,Satisfactory. Needs consistent practice.
ADM-1024,Tabitha Ndungu,Grade 1 A,Term 1,2026,Creative Activities,64,B-,28,Steady progress. Do more revision.
ADM-1024,Tabitha Ndungu,Grade 1 A,Term 1,2026,Physical & Health Education,51,C,31,Good effort. Can improve with more practice.
ADM-1025,Mark Kioko,Grade 1 A,Term 1,2026,English,70,B+,19,Good effort. Can improve with more practice.
ADM-1025,Mark Kioko,Grade 1 A,Term 1,2026,Kiswahili,81,A,6,Shows understanding of key concepts.
ADM-1025,Mark Kioko,Grade 1 A,Term 1,2026,Mathematics,71,B+,16,Average. Put more effort into homework.
ADM-1025,Mark Kioko,Grade 1 A,Term 1,2026,Environmental Activities,73,B+,17,Satisfactory. Needs consistent practice.
ADM-1025,Mark Kioko,Grade 1 A,Term 1,2026,Religious Education,73,B+,15,Steady progress. Do more revision.
ADM-1025,Mark Kioko,Grade 1 A,Term 1,2026,Creative Activities,76,A-,10,Below average. Extra tuition recommended.
ADM-1025,Mark Kioko,Grade 1 A,Term 1,2026,Physical & Health Education,77,A-,13,Performs well under guidance. Keep practising.
ADM-1026,Eric Obiero,Grade 1 A,Term 1,2026,English,80,A,9,Shows understanding of key concepts.
ADM-1026,Eric Obiero,Grade 1 A,Term 1,2026,Kiswahili,69,B,19,Very good performance. Focus on the few weak areas.
ADM-1026,Eric Obiero,Grade 1 A,Term 1,2026,Mathematics,71,B+,17,Excellent work. Keep it up!
ADM-1026,Eric Obiero,Grade 1 A,Term 1,2026,Environmental Activities,55,C+,31,Excellent work. Keep it up!
ADM-1026,Eric Obiero,Grade 1 A,Term 1,2026,Religious Education,57,C+,26,Very good performance. Focus on the few weak areas.
ADM-1026,Eric Obiero,Grade 1 A,Term 1,2026,Creative Activities,62,B-,29,Good effort. Can improve with more practice.
ADM-1026,Eric Obiero,Grade 1 A,Term 1,2026,Physical & Health Education,84,A,4,Average. Put more effort into homework.
ADM-1027,Michael Ndolo,Grade 1 A,Term 1,2026,English,62,B-,30,Very good performance. Focus on the few weak areas.
ADM-1027,Michael Ndolo,Grade 1 A,Term 1,2026,Kiswahili,60,B-,29,Steady progress. Do more revision.
ADM-1027,Michael Ndolo,Grade 1 A,Term 1,2026,Mathematics,77,A-,10,Performs well under guidance. Keep practising.
ADM-1027,Michael Ndolo,Grade 1 A,Term 1,2026,Environmental Activities,64,B-,23,Very good performance. Focus on the few weak areas.
ADM-1027,Michael Ndolo,Grade 1 A,Term 1,2026,Religious Education,68,B,20,Satisfactory. Needs consistent practice.
ADM-1027,Michael Ndolo,Grade 1 A,Term 1,2026,Creative Activities,72,B+,17,Good effort. Can improve with more practice.
ADM-1027,Michael Ndolo,Grade 1 A,Term 1,2026,Physical & Health Education,70,B+,22,Steady progress. Do more revision.
ADM-1028,Lawrence Chemtai,Grade 1 A,Term 1,2026,English,94,A,1,Steady progress. Do more revision.
ADM-1028,Lawrence Chemtai,Grade 1 A,Term 1,2026,Kiswahili,79,A-,10,Average. Put more effort into homework.
ADM-1028,Lawrence Chemtai,Grade 1 A,Term 1,2026,Mathematics,88,A,2,Below average. Extra tuition recommended.
ADM-1028,Lawrence Chemtai,Grade 1 A,Term 1,2026,Environmental Activities,66,B,22,Steady progress. Do more revision.
ADM-1028,Lawrence Chemtai,Grade 1 A,Term 1,2026,Religious Education,76,A-,13,Needs significant improvement. Revise earlier topics.
ADM-1028,Lawrence Chemtai,Grade 1 A,Term 1,2026,Creative Activities,74,B+,15,Average. Put more effort into homework.
ADM-1028,Lawrence Chemtai,Grade 1 A,Term 1,2026,Physical & Health Education,83,A,6,Satisfactory. Needs consistent practice.
ADM-1029,Emmanuel Njenga,Grade 1 A,Term 1,2026,English,73,B+,13,Satisfactory. Needs consistent practice.
ADM-1029,Emmanuel Njenga,Grade 1 A,Term 1,2026,Kiswahili,72,B+,18,Good effort. Can improve with more practice.
ADM-1029,Emmanuel Njenga,Grade 1 A,Term 1,2026,Mathematics,73,B+,13,Excellent work. Keep it up!
ADM-1029,Emmanuel Njenga,Grade 1 A,Term 1,2026,Environmental Activities,84,A,6,Average. Put more effort into homework.
ADM-1029,Emmanuel Njenga,Grade 1 A,Term 1,2026,Religious Education,72,B+,16,Steady progress. Do more revision.
ADM-1029,Emmanuel Njenga,Grade 1 A,Term 1,2026,Creative Activities,76,A-,11,Steady progress. Do more revision.
ADM-1029,Emmanuel Njenga,Grade 1 A,Term 1,2026,Physical & Health Education,80,A,11,Very good performance. Focus on the few weak areas.
ADM-1030,Yvonne Karanja,Grade 1 A,Term 1,2026,English,72,B+,17,Excellent work. Keep it up!
ADM-1030,Yvonne Karanja,Grade 1 A,Term 1,2026,Kiswahili,79,A-,11,Needs significant improvement. Revise earlier topics.
ADM-1030,Yvonne Karanja,Grade 1 A,Term 1,2026,Mathematics,65,B,25,Very good performance. Focus on the few weak areas.
ADM-1030,Yvonne Karanja,Grade 1 A,Term 1,2026,Environmental Activities,77,A-,14,Excellent work. Keep it up!
ADM-1030,Yvonne Karanja,Grade 1 A,Term 1,2026,Religious Education,65,B,22,Excellent work. Keep it up!
ADM-1030,Yvonne Karanja,Grade 1 A,Term 1,2026,Creative Activities,69,B,23,Satisfactory. Needs consistent practice.
ADM-1030,Yvonne Karanja,Grade 1 A,Term 1,2026,Physical & Health Education,78,A-,12,Performs well under guidance. Keep practising.
ADM-1031,Yvonne Njeri,Grade 1 A,Term 1,2026,English,88,A,3,Good effort. Can improve with more practice.
ADM-1031,Yvonne Njeri,Grade 1 A,Term 1,2026,Kiswahili,85,A,3,Needs significant improvement. Revise earlier topics.
ADM-1031,Yvonne Njeri,Grade 1 A,Term 1,2026,Mathematics,65,B,26,Satisfactory. Needs consistent practice.
ADM-1031,Yvonne Njeri,Grade 1 A,Term 1,2026,Environmental Activities,90,A,2,Average. Put more effort into homework.
ADM-1031,Yvonne Njeri,Grade 1 A,Term 1,2026,Religious Education,83,A,7,Shows understanding of key concepts.
ADM-1031,Yvonne Njeri,Grade 1 A,Term 1,2026,Creative Activities,71,B+,18,Good effort. Can improve with more practice.
ADM-1031,Yvonne Njeri,Grade 1 A,Term 1,2026,Physical & Health Education,83,A,7,Good effort. Can improve with more practice.
ADM-1032,Esther Mutiso,Grade 1 A,Term 1,2026,English,74,B+,12,Good effort. Can improve with more practice.
ADM-1032,Esther Mutiso,Grade 1 A,Term 1,2026,Kiswahili,78,A-,12,Average. Put more effort into homework.
ADM-1032,Esther Mutiso,Grade 1 A,Term 1,2026,Mathematics,81,A,7,Performs well under guidance. Keep practising.
ADM-1032,Esther Mutiso,Grade 1 A,Term 1,2026,Environmental Activities,77,A-,15,Needs significant improvement. Revise earlier topics.
ADM-1032,Esther Mutiso,Grade 1 A,Term 1,2026,Religious Education,87,A,5,Very good performance. Focus on the few weak areas.
ADM-1032,Esther Mutiso,Grade 1 A,Term 1,2026,Creative Activities,75,A-,14,Performs well under guidance. Keep practising.
ADM-1032,Esther Mutiso,Grade 1 A,Term 1,2026,Physical & Health Education,81,A,9,Excellent work. Keep it up!
ADM-1033,Daniel Noor,Grade 1 A,Term 1,2026,English,61,B-,31,Excellent work. Keep it up!
ADM-1033,Daniel Noor,Grade 1 A,Term 1,2026,Kiswahili,69,B,20,Average. Put more effort into homework.
ADM-1033,Daniel Noor,Grade 1 A,Term 1,2026,Mathematics,65,B,27,Good effort. Can improve with more practice.
ADM-1033,Daniel Noor,Grade 1 A,Term 1,2026,Environmental Activities,59,C+,28,Satisfactory. Needs consistent practice.
ADM-1033,Daniel Noor,Grade 1 A,Term 1,2026,Religious Education,57,C+,27,Average. Put more effort into homework.
ADM-1033,Daniel Noor,Grade 1 A,Term 1,2026,Creative Activities,58,C+,31,Good effort. Can improve with more practice.
ADM-1033,Daniel Noor,Grade 1 A,Term 1,2026,Physical & Health Education,77,A-,14,Satisfactory. Needs consistent practice.
ADM-1034,Alice Metto,Grade 1 A,Term 1,2026,English,54,C,34,Average. Put more effort into homework.
