Date,Admission No,Student Name,Class,Status,Reason
2026-01-05,ADM-1122,Charles Mutoro,Grade 2 A,PRESENT,
2026-01-05,ADM-1123,Joshua Gatwiri,Grade 2 A,PRESENT,
2026-01-05,ADM-1124,Peter Mutoro,Grade 2 A,PRESENT,
2026-01-05,ADM-1125,Donald Kiprop,Grade 2 A,PRESENT,
2026-01-05,ADM-1126,Rachael Mbithi,Grade 2 A,PRESENT,
2026-01-05,ADM-1127,James Natepo,Grade 2 A,PRESENT,
2026-01-05,ADM-1128,Amos Langat,Grade 2 A,PRESENT,
2026-01-05,ADM-1129,Olivia Suleiman,Grade 2 A,PRESENT,
2026-01-05,ADM-1130,Isaac Mpaine,Grade 2 A,LATE,REPORTED LATE
2026-01-05,ADM-1131,Joshua Sichangi,Grade 2 A,PRESENT,
2026-01-05,ADM-1132,Ian Abdi,Grade 2 A,ABSENT,TRAVEL
2026-01-05,ADM-1133,Timothy Maundu,Grade 2 B,PRESENT,
2026-01-05,ADM-1134,Eric Kosgei,Grade 2 B,PRESENT,
2026-01-05,ADM-1135,Amara Abdalla,Grade 2 B,PRESENT,
2026-01-05,ADM-1136,Hillary Adhiambo,Grade 2 B,PRESENT,
2026-01-05,ADM-1137,Patrick Hassan,Grade 2 B,PRESENT,
2026-01-05,ADM-1138,Alex Juma,Grade 2 B,PRESENT,
2026-01-05,ADM-1139,Trevor Kinyua,Grade 2 B,PRESENT,
2026-01-05,ADM-1140,Judith Farah,Grade 2 B,PRESENT,
2026-01-05,ADM-1141,Purity Maundu,Grade 2 B,PRESENT,
2026-01-05,ADM-1142,Kiplangat Syombua,Grade 2 B,PRESENT,
2026-01-05,ADM-1143,Esther Sironka,Grade 2 B,PRESENT,
2026-01-05,ADM-1144,Harrison Njoroge,Grade 2 B,PRESENT,
2026-01-05,ADM-1145,Wesley Mwende,Grade 2 B,ABSENT,TRAVEL
2026-01-05,ADM-1146,Gloria Khisa,Grade 2 B,PRESENT,
2026-01-05,ADM-1147,Francis Khamis,Grade 2 B,PRESENT,
2026-01-05,ADM-1148,Moses Omondi,Grade 2 B,PRESENT,
2026-01-05,ADM-1149,Anthony Igweta,Grade 2 B,PRESENT,
2026-01-05,ADM-1150,Michael Mwangi,Grade 2 B,PRESENT,
2026-01-05,ADM-1151,Grace Juma,Grade 2 B,PRESENT,
2026-01-05,ADM-1152,Dorcas Khisa,Grade 2 B,PRESENT,
2026-01-05,ADM-1153,Hellen Langat,Grade 2 B,PRESENT,
2026-01-05,ADM-1154,Naomi Kiptum,Grade 2 B,PRESENT,
2026-01-05,ADM-1155,Wesley Njoroge,Grade 2 B,PRESENT,
2026-01-05,ADM-1156,Susan Nthiga,Grade 2 B,PRESENT,
2026-01-05,ADM-1157,Alex Hassan,Grade 2 B,PRESENT,
2026-01-05,ADM-1158,David Kimeu,Grade 2 B,PRESENT,
2026-01-05,ADM-1159,Francis Wamalwa,Grade 2 B,PRESENT,
2026-01-05,ADM-1160,Sonia Chemtai,Grade 2 B,PRESENT,
2026-01-05,ADM-1161,Gladys Onyango,Grade 2 B,ABSENT,FUNERAL
2026-01-05,ADM-1162,Monica Njenga,Grade 2 B,PRESENT,
2026-01-05,ADM-1163,Harrison Muthoka,Grade 2 B,PRESENT,
2026-01-05,ADM-1164,Janet Maina,Grade 2 B,PRESENT,
2026-01-05,ADM-1165,Vincent Chemtai,Grade 3 A,PRESENT,
2026-01-05,ADM-1166,Kennedy Leshan,Grade 3 A,PRESENT,
2026-01-05,ADM-1167,Dennis Mganga,Grade 3 A,PRESENT,
2026-01-05,ADM-1168,Wesley Baariu,Grade 3 A,PRESENT,
2026-01-05,ADM-1169,Edna Igweta,Grade 3 A,PRESENT,
2026-01-05,ADM-1170,Thomas Oduor,Grade 3 A,PRESENT,
2026-01-05,ADM-1171,Julia Mwangi,Grade 3 A,PRESENT,
2026-01-05,ADM-1172,Judith Khamis,Grade 3 A,ABSENT,SICKNESS
2026-01-05,ADM-1173,Fridah Mutua,Grade 3 A,PRESENT,
2026-01-05,ADM-1174,Frank Kinyua,Grade 3 A,PRESENT,
2026-01-05,ADM-1175,George Auma,Grade 3 A,PRESENT,
2026-01-05,ADM-1176,Anthony Wekesa,Grade 3 A,PRESENT,
2026-01-05,ADM-1177,Emmanuel Anyango,Grade 3 A,PRESENT,
2026-01-05,ADM-1178,Abigail Wanjala,Grade 3 A,PRESENT,
2026-01-05,ADM-1179,Patrick Ruto,Grade 3 A,PRESENT,
2026-01-05,ADM-1180,Beatrice Mpaine,Grade 3 A,PRESENT,
2026-01-05,ADM-1181,Meshack Hassan,Grade 3 A,PRESENT,
2026-01-05,ADM-1182,Dennis Barasa,Grade 3 A,PRESENT,
2026-01-05,ADM-1183,Martha Oluoch,Grade 3 A,PRESENT,
2026-01-05,ADM-1184,Kennedy Oluoch,Grade 3 A,PRESENT,
2026-01-05,ADM-1185,Priscilla Mwangi,Grade 3 A,PRESENT,
2026-01-05,ADM-1186,Julia Wanjala,Grade 3 A,PRESENT,
2026-01-05,ADM-1187,Donald Mutoro,Grade 3 A,PRESENT,
2026-01-05,ADM-1188,Eric Nandwa,Grade 3 A,PRESENT,
2026-01-05,ADM-1189,Faith Adan,Grade 3 A,PRESENT,
2026-01-05,ADM-1190,Karen Okoth,Grade 3 A,PRESENT,
2026-01-05,ADM-1191,Winfred Mwirigi,Grade 3 A,PRESENT,
2026-01-05,ADM-1192,James Akoth,Grade 3 A,PRESENT,
2026-01-05,ADM-1193,George Kiprop,Grade 3 A,PRESENT,
2026-01-05,ADM-1194,Winnie Kinyua,Grade 3 A,PRESENT,
2026-01-05,ADM-1195,Esther Choge,Grade 3 A,PRESENT,
2026-01-05,ADM-1196,Grace Nassor,Grade 3 A,PRESENT,
2026-01-05,ADM-1197,Trevor Njuguna,Grade 3 B,PRESENT,
2026-01-05,ADM-1198,James Mutuku,Grade 3 B,PRESENT,
2026-01-05,ADM-1199,Peninah Achieng,Grade 3 B,PRESENT,
2026-01-05,ADM-1200,Karen Maina,Grade 3 B,PRESENT,
2026-01-05,ADM-1201,Brenda Wambui,Grade 3 B,PRESENT,
2026-01-05,ADM-1202,Doreen Njeri,Grade 3 B,PRESENT,
2026-01-05,ADM-1203,Julius Onyango,Grade 3 B,PRESENT,
2026-01-05,ADM-1204,Irene Pashua,Grade 3 B,PRESENT,
2026-01-05,ADM-1205,Kennedy Kitonga,Grade 3 B,PRESENT,
2026-01-05,ADM-1206,Faith Kathambi,Grade 3 B,PRESENT,
2026-01-05,ADM-1207,Teresia Baariu,Grade 3 B,PRESENT,
2026-01-05,ADM-1208,Edwin Abdalla,Grade 3 B,PRESENT,
2026-01-05,ADM-1209,Meshack Wafula,Grade 3 B,PRESENT,
2026-01-05,ADM-1210,Kipchoge Mwinyi,Grade 3 B,ABSENT,SICKNESS
2026-01-05,ADM-1211,Mark Pashua,Grade 3 B,PRESENT,
2026-01-05,ADM-1212,Grace Langat,Grade 3 B,PRESENT,
2026-01-05,ADM-1213,Julia Njuguna,Grade 3 B,PRESENT,
2026-01-05,ADM-1214,Thomas Mwende,Grade 3 B,PRESENT,
2026-01-05,ADM-1215,Edwin Namukuru,Grade 3 B,ABSENT,TRAVEL
2026-01-05,ADM-1216,Joseph Kirimi,Grade 3 B,PRESENT,
2026-01-05,ADM-1217,Elijah Odera,Grade 3 B,ABSENT,TRAVEL
2026-01-05,ADM-1218,Gideon Kitonga,Grade 3 B,PRESENT,
2026-01-05,ADM-1219,Francis Okoth,Grade 3 B,PRESENT,
2026-01-05,ADM-1220,Gloria Odhiambo,Grade 3 B,ABSENT,TRAVEL
2026-01-05,ADM-1221,Monica Kombo,Grade 3 B,PRESENT,
2026-01-05,ADM-1222,Abigail Khisa,Grade 3 B,PRESENT,
2026-01-05,ADM-1223,Simon Gitau,Grade 3 B,PRESENT,
2026-01-05,ADM-1224,Frank Abdalla,Grade 3 B,PRESENT,
2026-01-05,ADM-1225,Zachary Oluoch,Grade 3 B,PRESENT,
2026-01-05,ADM-1226,Vincent Ciawi,Grade 3 B,PRESENT,
2026-01-05,ADM-1227,Susan Wamalwa,Grade 3 B,PRESENT,
2026-01-05,ADM-1228,Michael Wambua,Grade 3 B,PRESENT,
2026-01-05,ADM-1229,Wesley Noor,Grade 4 A,PRESENT,
2026-01-05,ADM-1230,Felix Masinde,Grade 4 A,PRESENT,
2026-01-05,ADM-1231,Caleb Maundu,Grade 4 A,PRESENT,
2026-01-05,ADM-1232,Naomi Wambua,Grade 4 A,PRESENT,
2026-01-05,ADM-1233,Michael Syombua,Grade 4 A,PRESENT,
2026-01-05,ADM-1234,William Omollo,Grade 4 A,PRESENT,
2026-01-05,ADM-1235,Kennedy Chemtai,Grade 4 A,PRESENT,
2026-01-05,ADM-1236,Harrison Kitonga,Grade 4 A,PRESENT,
2026-01-05,ADM-1237,Teresia Kinyua,Grade 4 A,PRESENT,
2026-01-05,ADM-1238,Kiplangat Sichangi,Grade 4 A,PRESENT,
2026-01-05,ADM-1239,Kiplangat Pekeri,Grade 4 A,PRESENT,
2026-01-05,ADM-1240,Joshua Ciawi,Grade 4 A,PRESENT,
2026-01-05,ADM-1241,Trevor Igweta,Grade 4 A,PRESENT,
2026-01-05,ADM-1242,Emily Gatwiri,Grade 4 A,PRESENT,
2026-01-05,ADM-1243,Anthony Muthoka,Grade 4 A,PRESENT,
2026-01-05,ADM-1244,Magdalene Nzomo,Grade 4 A,PRESENT,
2026-01-05,ADM-1245,Michael Wamalwa,Grade 4 A,PRESENT,
2026-01-05,ADM-1246,Brian Anyango,Grade 4 A,PRESENT,
2026-01-05,ADM-1247,Florence Farah,Grade 4 A,PRESENT,
2026-01-05,ADM-1248,Kevin Mutoro,Grade 4 A,PRESENT,
2026-01-05,ADM-1249,Teresia Kimeu,Grade 4 A,PRESENT,
2026-01-05,ADM-1250,Anthony Khisa,Grade 4 A,PRESENT,
2026-01-05,ADM-1251,Hellen Omondi,Grade 4 A,PRESENT,
2026-01-05,ADM-1252,Lilian Suleiman,Grade 4 A,PRESENT,
2026-01-05,ADM-1253,Martha Kimutai,Grade 4 A,PRESENT,
2026-01-05,ADM-1254,Kipchoge Kinyua,Grade 4 A,PRESENT,
2026-01-05,ADM-1255,Sophia Kithinji,Grade 4 A,PRESENT,
2026-01-05,ADM-1256,Lilian Ambani,Grade 4 A,PRESENT,
2026-01-05,ADM-1257,Thomas Adan,Grade 4 A,PRESENT,
2026-01-05,ADM-1258,Samuel Mugambi,Grade 4 A,PRESENT,
2026-01-05,ADM-1259,Lawrence Tianai,Grade 4 A,PRESENT,
2026-01-05,ADM-1260,Gloria Omollo,Grade 4 A,PRESENT,
2026-01-05,ADM-1261,Vincent Suleiman,Grade 4 B,PRESENT,
2026-01-05,ADM-1262,Cynthia Kithinji,Grade 4 B,PRESENT,
2026-01-05,ADM-1263,Sharon Kariuki,Grade 4 B,PRESENT,
2026-01-05,ADM-1264,Peninah Kimeu,Grade 4 B,PRESENT,
2026-01-05,ADM-1265,Magdalene Kaelo,Grade 4 B,PRESENT,
2026-01-05,ADM-1266,Kipchoge Wamalwa,Grade 4 B,PRESENT,
2026-01-05,ADM-1267,Charles Hassan,Grade 4 B,PRESENT,
2026-01-05,ADM-1268,Sarah Maina,Grade 4 B,PRESENT,
2026-01-05,ADM-1269,Doreen Kariuki,Grade 4 B,PRESENT,
2026-01-05,ADM-1270,Moses Kimutai,Grade 4 B,PRESENT,
2026-01-05,ADM-1271,Charity Chepkirui,Grade 4 B,PRESENT,
2026-01-05,ADM-1272,Catherine Mbithi,Grade 4 B,PRESENT,
2026-01-05,ADM-1273,Kiplangat Oduor,Grade 4 B,PRESENT,
2026-01-05,ADM-1274,Zipporah Kigen,Grade 4 B,PRESENT,
2026-01-05,ADM-1275,Florence Obiero,Grade 4 B,PRESENT,
2026-01-05,ADM-1276,Rachael Githinji,Grade 4 B,PRESENT,
2026-01-05,ADM-1277,Anthony Njoroge,Grade 4 B,PRESENT,
2026-01-05,ADM-1278,Mark Pekeri,Grade 4 B,PRESENT,
2026-01-05,ADM-1279,Joyce Lugalia,Grade 4 B,PRESENT,
2026-01-05,ADM-1280,Samuel Nandwa,Grade 4 B,PRESENT,
2026-01-05,ADM-1281,Collins Kipchumba,Grade 4 B,PRESENT,
2026-01-05,ADM-1282,Timothy Chebet,Grade 4 B,PRESENT,
2026-01-05,ADM-1283,Timothy Kamau,Grade 4 B,PRESENT,
2026-01-05,ADM-1284,Caleb Kamau,Grade 4 B,PRESENT,
2026-01-05,ADM-1285,Tabitha Oluoch,Grade 4 B,PRESENT,
2026-01-05,ADM-1286,Kipchoge Anyango,Grade 4 B,PRESENT,
2026-01-05,ADM-1287,Zachary Namukuru,Grade 4 B,PRESENT,
2026-01-05,ADM-1288,Caleb Wanjala,Grade 4 B,PRESENT,
2026-01-05,ADM-1289,Hellen Odhiambo,Grade 4 B,PRESENT,
2026-01-05,ADM-1290,Moses Omollo,Grade 4 B,PRESENT,
2026-01-05,ADM-1291,Dorcas Ruto,Grade 4 B,PRESENT,
2026-01-05,ADM-1292,Dorcas Suleiman,Grade 4 B,PRESENT,
2026-01-05,ADM-1293,Vincent Makokha,Grade 5 A,PRESENT,
2026-01-05,ADM-1294,Edna Juma,Grade 5 A,PRESENT,
2026-01-05,ADM-1295,Mercy Karanja,Grade 5 A,PRESENT,
2026-01-05,ADM-1296,Hannah Njuguna,Grade 5 A,PRESENT,
2026-01-05,ADM-1297,John Leshan,Grade 5 A,PRESENT,
2026-01-05,ADM-1298,Joyce Noor,Grade 5 A,PRESENT,
2026-01-05,ADM-1299,Alex Korir,Grade 5 A,PRESENT,
2026-01-05,ADM-1300,Lawrence Musalia,Grade 5 A,PRESENT,
2026-01-05,ADM-1301,Veronica Mutiso,Grade 5 A,PRESENT,
2026-01-05,ADM-1302,Dorcas Syombua,Grade 5 A,PRESENT,
2026-01-05,ADM-1303,Brian Omondi,Grade 5 A,PRESENT,
2026-01-05,ADM-1304,Priscilla Wafula,Grade 5 A,PRESENT,
2026-01-05,ADM-1305,Patrick Tanui,Grade 5 A,PRESENT,
2026-01-05,ADM-1306,Anthony Kimeu,Grade 5 A,PRESENT,
2026-01-05,ADM-1307,Kennedy Achieng,Grade 5 A,PRESENT,
2026-01-05,ADM-1308,Doreen Makokha,Grade 5 A,PRESENT,
2026-01-05,ADM-1309,Ibrahim Natepo,Grade 5 A,PRESENT,
2026-01-05,ADM-1310,Kipchoge Adhiambo,Grade 5 A,PRESENT,
2026-01-05,ADM-1311,Amos Chepkirui,Grade 5 A,PRESENT,
2026-01-05,ADM-1312,Esther Kipsang,Grade 5 A,PRESENT,
2026-01-05,ADM-1313,Shalom Kimutai,Grade 5 A,PRESENT,
2026-01-05,ADM-1314,Donald Njenga,Grade 5 A,PRESENT,
2026-01-05,ADM-1315,Abigail Kinyua,Grade 5 A,PRESENT,
2026-01-05,ADM-1316,Winfred Kariuki,Grade 5 A,LATE,REPORTED LATE
2026-01-05,ADM-1317,Ian Omar,Grade 5 A,PRESENT,
2026-01-05,ADM-1318,Teresia Mutuku,Grade 5 A,PRESENT,
2026-01-05,ADM-1319,Trevor Adhiambo,Grade 5 A,PRESENT,
2026-01-05,ADM-1320,George Okello,Grade 5 A,ABSENT,FUNERAL
2026-01-05,ADM-1321,Dorcas Maina,Grade 5 A,PRESENT,
2026-01-05,ADM-1322,Sonia Simiyu,Grade 5 A,PRESENT,
2026-01-05,ADM-1323,Daniel Maina,Grade 5 A,PRESENT,
2026-01-05,ADM-1324,Tabitha Sironka,Grade 5 A,PRESENT,
2026-01-05,ADM-1325,Veronica Pekeri,Grade 5 B,PRESENT,
2026-01-05,ADM-1326,Peter Mwakisha,Grade 5 B,PRESENT,
2026-01-05,ADM-1327,Florence Kipsang,Grade 5 B,PRESENT,
2026-01-05,ADM-1328,Anthony Namukuru,Grade 5 B,PRESENT,
2026-01-05,ADM-1329,Sophia Wekesa,Grade 5 B,PRESENT,
2026-01-05,ADM-1330,Edna Nzioka,Grade 5 B,LATE,REPORTED LATE
2026-01-05,ADM-1331,Samuel Anyango,Grade 5 B,PRESENT,
2026-01-05,ADM-1332,Stephen Nzioka,Grade 5 B,PRESENT,
2026-01-05,ADM-1333,Rebecca Muthoka,Grade 5 B,PRESENT,
2026-01-05,ADM-1334,Alice Kirimi,Grade 5 B,PRESENT,
2026-01-05,ADM-1335,Lawrence Mugambi,Grade 5 B,PRESENT,
2026-01-05,ADM-1336,Mark Kinyua,Grade 5 B,PRESENT,
2026-01-05,ADM-1337,Rebecca Sichangi,Grade 5 B,PRESENT,
2026-01-05,ADM-1338,Sophia Mwinyi,Grade 5 B,LATE,REPORTED LATE
2026-01-05,ADM-1339,Wesley Pekeri,Grade 5 B,PRESENT,
2026-01-05,ADM-1340,Beatrice Mutua,Grade 5 B,PRESENT,
2026-01-05,ADM-1341,Gideon Farah,Grade 5 B,PRESENT,
2026-01-05,ADM-1342,Doreen Obiero,Grade 5 B,PRESENT,
2026-01-05,ADM-1343,Esther Wanjala,Grade 5 B,PRESENT,
2026-01-05,ADM-1344,Joshua Ambani,Grade 5 B,ABSENT,FUNERAL
2026-01-05,ADM-1345,Brian Chepkoech,Grade 5 B,PRESENT,
2026-01-05,ADM-1346,Rachael Gitau,Grade 5 B,PRESENT,
2026-01-05,ADM-1347,Olivia Wanjala,Grade 5 B,PRESENT,
2026-01-05,ADM-1348,Amos Nzioka,Grade 5 B,PRESENT,
2026-01-05,ADM-1349,Anthony Kirimi,Grade 5 B,PRESENT,
2026-01-05,ADM-1350,Wesley Bii,Grade 5 B,PRESENT,
2026-01-05,ADM-1351,Godfrey Lugalia,Grade 5 B,PRESENT,
2026-01-05,ADM-1352,Joyce Chebet,Grade 5 B,PRESENT,
2026-01-05,ADM-1353,Stephen Tianai,Grade 5 B,PRESENT,
2026-01-05,ADM-1354,Patrick Barasa,Grade 5 B,PRESENT,
2026-01-05,ADM-1355,Meshack Wamalwa,Grade 5 B,PRESENT,
2026-01-05,ADM-1356,Kipchoge Kamau,Grade 5 B,PRESENT,
2026-01-05,ADM-1357,Dorcas Mugo,Grade 6 A,PRESENT,
2026-01-05,ADM-1358,Karen Korir,Grade 6 A,PRESENT,
2026-01-05,ADM-1359,Andrew Juma,Grade 6 A,PRESENT,
2026-01-05,ADM-1360,Gideon Mburu,Grade 6 A,PRESENT,
2026-01-05,ADM-1361,Ian Ali,Grade 6 A,PRESENT,
2026-01-05,ADM-1362,Monica Odhiambo,Grade 6 A,PRESENT,
