FirstName,LastName,Admission No,Class,Stream,Gender,Date of Birth,Admission Date,Status,Guardian Name,Relationship,Guardian Phone,Alternative Phone,Guardian Email,Home Address,Emergency Contact,Emergency Phone
Joyce,Mutoro,ADM-1044,Grade 1,B,Female,2020-09-15,2026-12-18,Active,Kennedy Mutoro,Father,0712 966 851,0792 396 656,kennedy.mutoro@protonmail.com,"Migosi, Nakuru",Zachary Igweta,0722 482 148
Yvonne,Choge,ADM-1045,Grade 1,B,Female,2019-01-04,2026-09-19,Active,Kennedy Choge,Father,0701 113 283,0740 421 381,kennedy.choge@outlook.com,"Sakina, Nakuru",Nicholas Mugambi,0782 363 833
Timothy,Khisa,ADM-1046,Grade 1,B,Male,2020-09-16,2026-08-08,Active,Simon Khisa,Father,0733 788 876,0792 193 471,simon.khisa@outlook.com,"Lake View, Nakuru",Charles Kamau,0733 253 527
Charles,Njeru,ADM-1047,Grade 1,B,Male,2019-05-15,2026-06-20,Active,Caleb Njeru,Father,0782 496 309,,,"Bahati, Nakuru",Charles Bunoro,0782 367 443
Vincent,Wamalwa,ADM-1048,Grade 1,B,Male,2020-05-24,2026-03-23,Active,Lawrence Wamalwa,Father,0711 968 534,0792 506 685,lawrence.wamalwa@gmail.com,"Baraka, Nairobi",Maureen Kiptoo,0740 742 749
Isaac,Mwirigi,ADM-1049,Grade 1,B,Male,2019-06-06,2026-04-26,Active,Nathaniel Mwirigi,Father,0772 783 567,0740 966 843,,"Kimandolu, Uasin Gishu",Gladys Otieno,0712 224 385
David,Kaelo,ADM-1050,Grade 1,B,Male,2020-05-23,2026-12-22,Active,Diana Kaelo,Aunt,0782 261 474,0701 294 797,diana.kaelo@outlook.com,"Kayole, Nairobi",Gloria Ruto,0711 843 320
Purity,Kioko,ADM-1051,Grade 1,B,Female,2019-05-27,2026-12-28,Active,Isaac Kioko,Father,0751 429 252,0792 457 529,isaac.kioko@outlook.com,"Kahawa Wendani, Nakuru",William Odhiambo,0762 523 299
Thomas,Korir,ADM-1052,Grade 1,B,Male,2020-10-07,2026-07-18,Active,Caleb Korir,Father,0792 762 867,0733 113 324,caleb.korir@yahoo.com,"Lake View, Garissa",Cynthia Nandwa,0772 195 432
Zachary,Omollo,ADM-1053,Grade 1,B,Male,2020-03-12,2026-01-18,Active,John Omollo,Father,0762 132 196,,john.omollo@protonmail.com,"Langas, Kilifi",Patrick Mwakisha,0733 849 831
Sharon,Kombo,ADM-1054,Grade 1,B,Female,2020-06-18,2026-12-26,Active,Godfrey Kombo,Father,0772 623 406,0762 543 192,,"Kapsoya, Uasin Gishu",John Kiprop,0762 357 944
Luke,Bunoro,ADM-1055,Grade 1,B,Male,2020-12-16,2026-05-16,Active,Alex Bunoro,Father,0782 410 103,0792 349 272,alex.bunoro@outlook.com,"Kayole, Nakuru",Peter Masinde,0722 228 537
Dorcas,Nassor,ADM-1056,Grade 1,B,Female,2019-01-09,2026-09-11,Active,Ian Nassor,Father,0712 986 989,0792 954 513,,"Kimandolu, Uasin Gishu",Moses Mugo,0762 303 937
Wesley,Bakari,ADM-1057,Grade 1,B,Male,2020-01-14,2026-05-26,Active,George Bakari,Father,0792 513 175,0733 591 754,,"Njiro, Kisumu",Zachary Salim,0711 322 315
Winfred,Odera,ADM-1058,Grade 1,B,Female,2019-09-17,2026-09-20,Active,Lawrence Odera,Father,0711 413 952,,,"Milimani, Mombasa",Felix Karanja,0751 260 391
Trevor,Syombua,ADM-1059,Grade 1,B,Male,2020-01-28,2026-04-19,Active,Patrick Syombua,Uncle,0711 857 473,,patrick.syombua@gmail.com,"Obunga, Mombasa",Ibrahim Wambua,0712 638 749
Nancy,Musalia,ADM-1060,Grade 1,B,Female,2019-04-07,2026-05-21,Active,Elijah Musalia,Father,0712 878 677,0782 516 111,elijah.musalia@icloud.com,"Olasiti, Kakamega",Amos Tianai,0792 385 320
Eric,Chepkirui,ADM-1061,Grade 1,B,Male,2019-01-06,2026-03-18,Active,Caleb Chepkirui,Father,0733 605 362,0751 524 780,caleb.chepkirui@yahoo.com,"Kasarani, Kakamega",Priscilla Bakari,0701 951 533
Faith,Owino,ADM-1062,Grade 1,B,Female,2019-03-02,2026-10-14,Active,Kevin Owino,Father,0712 658 181,0751 833 701,kevin.owino@outlook.com,"Lake View, Uasin Gishu",John Kitonga,0782 484 375
Julia,Kaelo,ADM-1063,Grade 1,B,Female,2019-05-19,2026-05-16,Active,Lilian Kaelo,Mother,0782 145 266,,,"Obunga, Garissa",Winfred Owino,0772 429 409
Andrew,Suleiman,ADM-1064,Grade 1,B,Male,2020-04-15,2026-04-16,Active,Beth Suleiman,Guardian,0712 279 523,,beth.suleiman@yahoo.com,"Milimani Kisumu, Arusha",Edna Makhoha,0772 444 385
Julius,Mutiso,ADM-1065,Grade 1,B,Male,2020-10-02,2026-07-03,Active,Frank Mutiso,Father,0751 778 939,0762 382 205,,"Lanet, Nakuru",Veronica Gatwiri,0711 117 447
Nancy,Abdi,ADM-1066,Grade 1,B,Female,2019-04-11,2026-07-11,Active,Karen Abdi,Guardian,0762 611 267,0712 644 555,karen.abdi@icloud.com,"Donholm, Kisumu",Victor Maina,0762 461 752
Joyce,Kitonga,ADM-1067,Grade 1,B,Female,2019-12-11,2026-06-27,Active,Anthony Kitonga,Father,0733 466 645,,,"Annex, Nairobi",Fridah Wanjala,0722 625 610
Brenda,Adan,ADM-1068,Grade 1,C,Female,2019-02-26,2026-04-10,Active,Susan Adan,Aunt,0701 973 480,0711 900 739,,"Kiamunyi, Kisumu",Eunice Nasimiyu,0772 784 516
Purity,Mwende,ADM-1069,Grade 1,C,Female,2019-07-15,2026-08-28,Active,Edwin Mwende,Father,0701 866 298,0722 454 336,edwin.mwende@yahoo.com,"Milimani, Nakuru",Amara Kimutai,0712 555 240
Judith,Khisa,ADM-1070,Grade 1,C,Female,2019-12-04,2026-01-26,Active,Amos Khisa,Grandfather,0772 973 966,,amos.khisa@protonmail.com,"Lake View, Nakuru",Doreen Mburu,0712 647 603
Stephen,Wekesa,ADM-1071,Grade 1,C,Male,2019-11-21,2026-09-11,Active,Charity Wekesa,Mother,0733 637 639,,charity.wekesa@gmail.com,"Bahati, Bungoma",Amos Kaelo,0722 982 336
Martin,Bunoro,ADM-1072,Grade 1,C,Male,2020-07-26,2026-06-10,Active,Emmanuel Bunoro,Father,0751 825 658,0762 346 574,,"Kiamunyi, Kakamega",Rebecca Waweru,0782 647 703
Cynthia,Zawadi,ADM-1073,Grade 1,C,Female,2019-06-14,2026-01-28,Active,Susan Zawadi,Mother,0740 780 104,,susan.zawadi@gmail.com,"Umoja, Kakamega",Frank Wanjiku,0740 847 404
Hillary,Njenga,ADM-1074,Grade 1,C,Male,2019-01-01,2026-02-06,Active,Frank Njenga,Father,0701 538 387,0701 625 934,frank.njenga@gmail.com,"South B, Mombasa",Edwin Namukuru,0751 340 581
Amara,Mugambi,ADM-1075,Grade 1,C,Female,2019-06-13,2026-07-16,Active,Sophia Mugambi,Mother,0751 118 178,,sophia.mugambi@icloud.com,"Nyalenda, Arusha",Brian Kilonzo,0722 760 371
Charles,Kigen,ADM-1076,Grade 1,C,Male,2019-09-10,2026-12-02,Active,Faith Kigen,Aunt,0740 123 659,,faith.kigen@yahoo.com,"Bahati, Nairobi",William Owino,0740 955 490
David,Wanjala,ADM-1077,Grade 1,C,Male,2019-02-21,2026-07-23,Active,George Wanjala,Father,0772 946 749,,george.wanjala@icloud.com,"Lake View, Kilifi",Fridah Njuguna,0740 988 835
Lawrence,Ciawi,ADM-1078,Grade 1,C,Male,2019-12-11,2026-09-12,Active,Abigail Ciawi,Guardian,0751 435 955,,abigail.ciawi@icloud.com,"Kondele, Bungoma",Harrison Anyango,0722 786 476
Benjamin,Okello,ADM-1079,Grade 1,C,Male,2020-12-08,2026-03-06,Active,Andrew Okello,Father,0701 205 312,0711 821 372,,"Milimani, Nakuru",Eric Mutua,0722 327 593
Samuel,Sironka,ADM-1080,Grade 1,C,Male,2019-10-08,2026-08-19,Active,Martin Sironka,Father,0751 152 855,0782 320 633,,"Huruma, Kakamega",Maureen Kamau,0762 841 239
Nicholas,Makokha,ADM-1081,Grade 1,C,Male,2020-05-05,2026-01-24,Active,Veronica Makokha,Mother,0751 249 497,0711 124 579,veronica.makokha@yahoo.com,"Section 58, Kiambu",Purity Sein,0711 286 765
Rebecca,Ndolo,ADM-1082,Grade 1,C,Female,2019-08-18,2026-08-23,Active,Ian Ndolo,Father,0722 666 532,,,"Kahawa Wendani, Nairobi",Diana Mganga,0792 657 146
William,Masinde,ADM-1083,Grade 1,C,Male,2020-06-19,2026-05-27,Active,Shalom Masinde,Guardian,0701 400 329,0762 993 132,shalom.masinde@outlook.com,"Umoja, Kakamega",Fridah Leshan,0772 531 237
Victor,Maina,ADM-1084,Grade 1,C,Male,2020-03-16,2026-08-15,Active,Emmanuel Maina,Uncle,0701 826 613,0772 391 932,,"Pioneer, Garissa",Brenda Ogot,0740 939 691
Mercy,Mburu,ADM-1085,Grade 1,C,Female,2020-10-24,2026-11-12,Active,Moses Mburu,Uncle,0711 996 428,0740 355 702,,"Donholm, Kisumu",Peninah Mwende,0792 812 557
Timothy,Kaelo,ADM-1086,Grade 1,C,Male,2020-04-05,2026-07-28,Active,Wesley Kaelo,Father,0711 737 535,,wesley.kaelo@icloud.com,"Naka, Uasin Gishu",David Chepkoech,0792 532 768
Dorcas,Mwinyi,ADM-1087,Grade 1,C,Female,2020-08-26,2026-06-10,Active,Harrison Mwinyi,Father,0751 713 547,,harrison.mwinyi@outlook.com,"Lanet, Arusha",Eunice Ciawi,0762 231 985
Frank,Ndungu,ADM-1088,Grade 1,C,Male,2019-08-19,2026-01-25,Active,Alex Ndungu,Father,0782 905 350,0751 905 388,alex.ndungu@icloud.com,"Kapsoya, Kilifi",Emily Barasa,0751 556 263
Faith,Githinji,ADM-1089,Grade 1,C,Female,2019-03-17,2026-07-26,Active,Gloria Githinji,Aunt,0792 601 695,0782 719 770,gloria.githinji@yahoo.com,"Nyawita, Mombasa",Ian Mganga,0701 713 497
Alex,Akoth,ADM-1090,Grade 1,C,Male,2019-10-23,2026-09-09,Active,Godfrey Akoth,Father,0762 906 906,0701 335 757,,"Milimani Estate, Kilifi",Alice Adan,0751 681 878
Nathaniel,Wekesa,ADM-1091,Grade 1,C,Male,2020-05-11,2026-05-13,Active,Francis Wekesa,Father,0740 106 912,,francis.wekesa@protonmail.com,"Kaptembwo, Mombasa",Zipporah Kiptoo,0733 503 597
Olivia,Pekeri,ADM-1092,Grade 1,C,Female,2020-07-24,2026-07-17,Active,Kiplangat Pekeri,Father,0762 816 895,0772 644 741,,"Annex, Kiambu",Gloria Ndungu,0772 387 800
Winfred,Muthoka,ADM-1093,Grade 1,C,Female,2019-02-22,2026-05-14,Active,Joshua Muthoka,Father,0712 191 523,,joshua.muthoka@yahoo.com,"Naka, Kilifi",Andrew Nassor,0712 425 389
Nicholas,Namukuru,ADM-1094,Grade 1,C,Male,2020-10-28,2026-04-05,Active,Rebecca Namukuru,Mother,0701 738 271,0772 110 129,,"Pioneer, Kakamega",Ian Namukuru,0733 361 763
Faith,Mutua,ADM-1095,Grade 1,C,Female,2020-01-10,2026-03-16,Active,David Mutua,Father,0751 710 832,,david.mutua@outlook.com,"Naka, Kilifi",Mark Mburu,0701 642 196
Nancy,Nandwa,ADM-1096,Grade 1,C,Female,2020-03-03,2026-04-10,Active,Felix Nandwa,Father,0701 836 519,0722 901 682,felix.nandwa@gmail.com,"Umoja, Mombasa",Kiplangat Karanja,0782 787 450
Judith,Kosgei,ADM-1097,Grade 1,C,Female,2020-07-03,2026-09-13,Active,Joseph Kosgei,Father,0712 501 874,0722 276 843,joseph.kosgei@outlook.com,"Sakina, Kiambu",Damaris Mwakisha,0733 471 902
John,Metto,ADM-1098,Grade 1,C,Male,2019-03-01,2026-03-15,Active,Edna Metto,Grandmother,0712 454 606,0711 929 967,edna.metto@icloud.com,"Baraka, Nakuru",Ibrahim Lugalia,0740 514 396
Dorcas,Karanja,ADM-1099,Grade 1,C,Female,2019-04-06,2026-01-17,Active,Ian Karanja,Grandfather,0712 907 586,0701 333 527,,"Elgon View, Mombasa",Tabitha Chebet,0740 263 215
Faith,Choge,ADM-1100,Grade 1,C,Female,2020-09-13,2026-11-04,Active,Amara Choge,Mother,0722 217 613,0782 747 797,amara.choge@yahoo.com,"Thika Road, Kilifi",Kiplangat Abdi,0701 683 103
Eric,Musyoka,ADM-1101,Grade 2,A,Male,2018-01-16,2026-09-06,Active,Moses Musyoka,Father,0782 944 637,,,"Umoja, Kakamega",Brian Owuor,0751 842 126
Elijah,Natepo,ADM-1102,Grade 2,A,Male,2018-12-03,2025-09-20,Active,Trevor Natepo,Father,0762 137 447,0711 586 237,trevor.natepo@icloud.com,"South C, Kakamega",Cynthia Waweru,0712 818 355
Alex,Tanui,ADM-1103,Grade 2,A,Male,2018-11-05,2026-07-07,Active,Purity Tanui,Mother,0792 290 217,0792 268 949,purity.tanui@protonmail.com,"Kimandolu, Makueni",Yvonne Yusuf,0782 526 774
Emmanuel,Ndolo,ADM-1104,Grade 2,A,Male,2018-10-18,2025-03-24,Active,Julia Ndolo,Mother,0701 659 299,,julia.ndolo@yahoo.com,"Kimandolu, Kilifi",Doreen Sein,0762 976 199
Magdalene,Mpaine,ADM-1105,Grade 2,A,Female,2019-12-19,2026-08-07,Active,Maureen Mpaine,Mother,0722 378 412,,maureen.mpaine@yahoo.com,"Kimumu, Nakuru",Janet Owino,0740 192 958
Gideon,Tanui,ADM-1106,Grade 2,A,Male,2019-12-05,2026-02-18,Active,Joshua Tanui,Father,0740 183 784,0701 700 778,,"Kapsoya, Kakamega",Vincent Adhiambo,0792 236 892
Rachael,Kiprop,ADM-1107,Grade 2,A,Female,2019-03-21,2026-04-09,Active,Gideon Kiprop,Father,0751 890 545,0772 647 905,gideon.kiprop@yahoo.com,"South C, Machakos",Mercy Adhiambo,0701 990 690
Harrison,Kioko,ADM-1108,Grade 2,A,Male,2018-09-04,2025-04-20,Active,Eric Kioko,Father,0782 838 749,0772 454 260,,"Kaptembwo, Kakamega",Dorcas Suleiman,0722 325 776
Tabitha,Bunoro,ADM-1109,Grade 2,A,Female,2019-02-19,2025-04-15,Active,Frank Bunoro,Father,0782 141 918,,frank.bunoro@icloud.com,"Bahati, Machakos",Susan Namukuru,0740 541 979
Andrew,Leshan,ADM-1110,Grade 2,A,Male,2018-09-02,2025-11-04,Active,Maureen Leshan,Guardian,0712 458 676,,maureen.leshan@outlook.com,"Sekei, Nakuru",Gideon Omondi,0740 825 801
Samuel,Nzioka,ADM-1111,Grade 2,A,Male,2019-08-14,2025-01-18,Active,Joseph Nzioka,Father,0782 671 414,,joseph.nzioka@yahoo.com,"Kaptembwo, Garissa",Stephen Mwanzia,0740 139 887
Diana,Njeri,ADM-1112,Grade 2,A,Female,2018-07-12,2026-01-15,Active,Yvonne Njeri,Mother,0772 420 722,0751 116 657,yvonne.njeri@protonmail.com,"Bahati, Nakuru",Gladys Tianai,0751 642 375
Joyce,Njoroge,ADM-1113,Grade 2,A,Female,2018-02-13,2026-04-20,Active,Zipporah Njoroge,Mother,0722 158 168,,,"Milimani, Machakos",William Githinji,0751 231 973
Fridah,Kimeu,ADM-1114,Grade 2,A,Female,2019-09-11,2026-06-05,Active,Julius Kimeu,Father,0712 944 963,,,"Njiro, Nakuru",Sharon Mbithi,0711 187 161
Caleb,Kioko,ADM-1115,Grade 2,A,Male,2018-01-23,2025-03-24,Active,Nathaniel Kioko,Father,0712 207 904,0772 924 615,nathaniel.kioko@outlook.com,"Shabab, Nakuru",Peter Odera,0712 158 770
Hillary,Odhiambo,ADM-1116,Grade 2,A,Male,2018-10-20,2025-04-16,Active,Charles Odhiambo,Uncle,0772 638 608,0733 637 700,charles.odhiambo@outlook.com,"Nyawita, Nakuru",Julia Wambua,0792 410 503
Martin,Zawadi,ADM-1117,Grade 2,A,Male,2019-02-23,2025-02-14,Active,Charles Zawadi,Grandfather,0711 659 940,0792 226 738,charles.zawadi@yahoo.com,"Sakina, Uasin Gishu",Kipchoge Abdi,0711 136 478
Alex,Mwangi,ADM-1118,Grade 2,A,Male,2018-03-11,2026-09-07,Active,Ibrahim Mwangi,Father,0762 858 546,0722 839 922,ibrahim.mwangi@icloud.com,"Milimani, Mombasa",Martha Wambua,0740 964 123
Sharon,Githinji,ADM-1119,Grade 2,A,Female,2019-11-04,2026-02-11,Active,Amos Githinji,Father,0782 134 261,0711 141 730,,"Njiro, Bungoma",Doreen Hassan,0772 471 756
Shalom,Syombua,ADM-1120,Grade 2,A,Female,2019-08-11,2026-02-13,Active,Eric Syombua,Father,0733 795 381,0772 592 731,eric.syombua@yahoo.com,"Elgon View, Kilifi",Ibrahim Kipchumba,0762 876 658
Faith,Omar,ADM-1121,Grade 2,A,Female,2019-09-20,2025-03-14,Active,Felix Omar,Father,0762 142 640,0740 216 849,felix.omar@icloud.com,"Nyawita, Arusha",Emily Mwangi,0711 787 612
Charles,Mutoro,ADM-1122,Grade 2,A,Male,2018-10-08,2026-12-25,Active,Edwin Mutoro,Father,0711 571 828,,,"Kasarani, Uasin Gishu",Beatrice Gatwiri,0722 633 242
Joshua,Gatwiri,ADM-1123,Grade 2,A,Male,2018-07-12,2025-10-17,Active,Kevin Gatwiri,Father,0740 483 223,,kevin.gatwiri@yahoo.com,"Ruiru, Nakuru",Andrew Kathambi,0792 279 449
Peter,Mutoro,ADM-1124,Grade 2,A,Male,2019-06-13,2026-07-14,Active,Eunice Mutoro,Mother,0733 393 880,0782 314 775,eunice.mutoro@yahoo.com,"Njiro, Nairobi",Caroline Maundu,0711 477 869
Donald,Kiprop,ADM-1125,Grade 2,A,Male,2019-10-05,2025-12-09,Active,William Kiprop,Father,0722 306 567,0722 820 162,,"Kaptembwo, Arusha",Judith Gitau,0751 904 743
Rachael,Mbithi,ADM-1126,Grade 2,A,Female,2018-05-03,2026-09-26,Active,Teresia Mbithi,Aunt,0751 318 283,,,"Annex, Garissa",Agnes Njeri,0762 127 624
James,Natepo,ADM-1127,Grade 2,A,Male,2018-12-25,2025-06-09,Active,Samuel Natepo,Uncle,0733 580 268,0751 358 938,samuel.natepo@icloud.com,"Sakina, Garissa",Francis Nzioka,0712 203 153
