Receipt No,Admission No,Student Name,Class,Term,Year,Amount (KES),Payment Method,Reference No,Paid By,Payment Date,Recorded By
BP-2026-0079,ADM-1015,Yvonne Kariuki,Grade 1 A,Term 2,2026,15000,Cash,CSH-50789,Frank Kariuki,2026-05-25,Monica Wanjiru
BP-2026-0080,ADM-1015,Yvonne Kariuki,Grade 1 A,Term 3,2026,9000,Cheque,CHQ-43585,Frank Kariuki,2026-09-19,Monica Wanjiru
BP-2026-0081,ADM-1016,John Lugalia,Grade 1 A,Term 1,2026,30000,Bank Transfer,RTN-41353,James Lugalia,2026-01-24,Andreah Smithh
BP-2026-0082,ADM-1016,John Lugalia,Grade 1 A,Term 2,2026,6000,Cheque,CHQ-19101,James Lugalia,2026-05-08,Andreah Smithh
BP-2026-0083,ADM-1016,John Lugalia,Grade 1 A,Term 2,2026,3400,Cash,CSH-65334,James Lugalia,2026-06-10,Rebecca Wanjala
BP-2026-0084,ADM-1016,John Lugalia,Grade 1 A,Term 2,2026,5600,Cash,CSH-30926,James Lugalia,2026-06-07,Rebecca Wanjala
BP-2026-0085,ADM-1017,Fridah Oluoch,Grade 1 A,Term 1,2026,30000,Cheque,CHQ-99955,Dennis Oluoch,2026-01-12,Monica Wanjiru
BP-2026-0086,ADM-1017,Fridah Oluoch,Grade 1 A,Term 2,2026,6800,Bank Transfer,RTN-53188,Dennis Oluoch,2026-05-23,Rebecca Wanjala
BP-2026-0087,ADM-1017,Fridah Oluoch,Grade 1 A,Term 2,2026,8200,M-PESA,QWH-22868,Dennis Oluoch,2026-06-07,Rebecca Wanjala
BP-2026-0088,ADM-1017,Fridah Oluoch,Grade 1 A,Term 3,2026,3800,M-PESA,QWH-82479,Dennis Oluoch,2026-10-05,Monica Wanjiru
BP-2026-0089,ADM-1017,Fridah Oluoch,Grade 1 A,Term 3,2026,1400,Cash,CSH-57899,Dennis Oluoch,2026-10-19,Rebecca Wanjala
BP-2026-0090,ADM-1017,Fridah Oluoch,Grade 1 A,Term 3,2026,3800,Bank Transfer,RTN-20366,Dennis Oluoch,2026-10-30,Monica Wanjiru
BP-2026-0091,ADM-1018,Charity Sichangi,Grade 1 A,Term 1,2026,12400,Bank Transfer,RTN-72671,Moses Sichangi,2026-02-02,Andreah Smithh
BP-2026-0092,ADM-1018,Charity Sichangi,Grade 1 A,Term 1,2026,17600,Bank Transfer,RTN-70975,Moses Sichangi,2026-02-07,Andreah Smithh
BP-2026-0093,ADM-1018,Charity Sichangi,Grade 1 A,Term 2,2026,6600,Bank Transfer,RTN-83820,Moses Sichangi,2026-05-20,Andreah Smithh
BP-2026-0094,ADM-1018,Charity Sichangi,Grade 1 A,Term 2,2026,4000,Bank Transfer,RTN-46044,Moses Sichangi,2026-06-05,Monica Wanjiru
BP-2026-0095,ADM-1018,Charity Sichangi,Grade 1 A,Term 2,2026,4400,M-PESA,QWH-91413,Moses Sichangi,2026-06-29,Rebecca Wanjala
BP-2026-0096,ADM-1018,Charity Sichangi,Grade 1 A,Term 3,2026,1900,Bank Transfer,RTN-76574,Moses Sichangi,2026-09-26,Monica Wanjiru
BP-2026-0097,ADM-1018,Charity Sichangi,Grade 1 A,Term 3,2026,4100,M-PESA,QWH-63606,Moses Sichangi,2026-10-11,Andreah Smithh
BP-2026-0098,ADM-1019,Stephen Kinyua,Grade 1 A,Term 1,2026,11000,Cash,CSH-46011,Amos Kinyua,2026-01-26,Monica Wanjiru
BP-2026-0099,ADM-1019,Stephen Kinyua,Grade 1 A,Term 1,2026,8200,Cash,CSH-72792,Amos Kinyua,2026-01-28,Andreah Smithh
BP-2026-0100,ADM-1019,Stephen Kinyua,Grade 1 A,Term 1,2026,10800,M-PESA,QWH-79797,Amos Kinyua,2026-02-13,Monica Wanjiru
BP-2026-0101,ADM-1019,Stephen Kinyua,Grade 1 A,Term 2,2026,7800,M-PESA,QWH-99988,Amos Kinyua,2026-05-30,Monica Wanjiru
BP-2026-0102,ADM-1019,Stephen Kinyua,Grade 1 A,Term 2,2026,7200,M-PESA,QWH-53209,Amos Kinyua,2026-06-09,Rebecca Wanjala
BP-2026-0103,ADM-1019,Stephen Kinyua,Grade 1 A,Term 3,2026,4800,M-PESA,QWH-39706,Amos Kinyua,2026-09-23,Monica Wanjiru
BP-2026-0104,ADM-1020,James Mganga,Grade 1 A,Term 1,2026,10300,Bank Transfer,RTN-38415,Alex Mganga,2026-01-27,Andreah Smithh
BP-2026-0105,ADM-1020,James Mganga,Grade 1 A,Term 1,2026,8000,Cash,CSH-36772,Alex Mganga,2026-02-09,Monica Wanjiru
BP-2026-0106,ADM-1020,James Mganga,Grade 1 A,Term 1,2026,11700,M-PESA,QWH-38552,Alex Mganga,2026-02-22,Monica Wanjiru
BP-2026-0107,ADM-1020,James Mganga,Grade 1 A,Term 3,2026,3100,Cash,CSH-79179,Alex Mganga,2026-09-09,Rebecca Wanjala
BP-2026-0108,ADM-1020,James Mganga,Grade 1 A,Term 3,2026,1600,Bank Transfer,RTN-84801,Alex Mganga,2026-10-14,Monica Wanjiru
BP-2026-0109,ADM-1020,James Mganga,Grade 1 A,Term 3,2026,1300,Cash,CSH-46611,Alex Mganga,2026-10-18,Andreah Smithh
BP-2026-0110,ADM-1021,Brenda Oduor,Grade 1 A,Term 1,2026,9300,Cash,CSH-39119,Ian Oduor,2026-01-18,Monica Wanjiru
BP-2026-0111,ADM-1021,Brenda Oduor,Grade 1 A,Term 1,2026,20700,Cash,CSH-39917,Ian Oduor,2026-02-05,Andreah Smithh
BP-2026-0112,ADM-1021,Brenda Oduor,Grade 1 A,Term 2,2026,5400,Cheque,CHQ-14581,Ian Oduor,2026-05-30,Rebecca Wanjala
BP-2026-0113,ADM-1021,Brenda Oduor,Grade 1 A,Term 2,2026,4500,Cash,CSH-78299,Ian Oduor,2026-06-01,Monica Wanjiru
BP-2026-0114,ADM-1021,Brenda Oduor,Grade 1 A,Term 2,2026,5100,Bank Transfer,RTN-76541,Ian Oduor,2026-06-20,Monica Wanjiru
BP-2026-0115,ADM-1021,Brenda Oduor,Grade 1 A,Term 3,2026,1900,Cheque,CHQ-42211,Ian Oduor,2026-09-18,Monica Wanjiru
BP-2026-0116,ADM-1021,Brenda Oduor,Grade 1 A,Term 3,2026,700,M-PESA,QWH-16526,Ian Oduor,2026-10-04,Andreah Smithh
BP-2026-0117,ADM-1021,Brenda Oduor,Grade 1 A,Term 3,2026,900,Cheque,CHQ-58989,Ian Oduor,2026-10-29,Rebecca Wanjala
BP-2026-0118,ADM-1022,Kiplangat Wafula,Grade 1 A,Term 1,2026,7800,Bank Transfer,RTN-96840,Caleb Wafula,2026-01-28,Monica Wanjiru
BP-2026-0119,ADM-1022,Kiplangat Wafula,Grade 1 A,Term 1,2026,9900,Cash,CSH-76081,Caleb Wafula,2026-02-11,Rebecca Wanjala
BP-2026-0120,ADM-1022,Kiplangat Wafula,Grade 1 A,Term 1,2026,12300,M-PESA,QWH-64924,Caleb Wafula,2026-02-08,Andreah Smithh
BP-2026-0121,ADM-1022,Kiplangat Wafula,Grade 1 A,Term 2,2026,9000,Bank Transfer,RTN-83719,Caleb Wafula,2026-05-19,Rebecca Wanjala
BP-2026-0122,ADM-1022,Kiplangat Wafula,Grade 1 A,Term 3,2026,5000,Bank Transfer,RTN-12049,Caleb Wafula,2026-09-10,Andreah Smithh
BP-2026-0123,ADM-1023,Karen Makokha,Grade 1 A,Term 1,2026,15800,Cheque,CHQ-60647,Kennedy Makokha,2026-01-19,Andreah Smithh
BP-2026-0124,ADM-1023,Karen Makokha,Grade 1 A,Term 1,2026,14200,Cash,CSH-78293,Kennedy Makokha,2026-02-12,Rebecca Wanjala
BP-2026-0125,ADM-1023,Karen Makokha,Grade 1 A,Term 2,2026,16000,M-PESA,QWH-13541,Kennedy Makokha,2026-05-12,Andreah Smithh
BP-2026-0126,ADM-1023,Karen Makokha,Grade 1 A,Term 3,2026,1000,Cheque,CHQ-83730,Kennedy Makokha,2026-09-20,Andreah Smithh
BP-2026-0127,ADM-1023,Karen Makokha,Grade 1 A,Term 3,2026,2900,M-PESA,QWH-80651,Kennedy Makokha,2026-09-28,Andreah Smithh
BP-2026-0128,ADM-1024,Tabitha Ndungu,Grade 1 A,Term 1,2026,10000,M-PESA,QWH-66639,Catherine Ndungu,2026-01-18,Andreah Smithh
BP-2026-0129,ADM-1024,Tabitha Ndungu,Grade 1 A,Term 1,2026,5100,Cash,CSH-25588,Catherine Ndungu,2026-01-25,Monica Wanjiru
BP-2026-0130,ADM-1024,Tabitha Ndungu,Grade 1 A,Term 1,2026,14900,M-PESA,QWH-11721,Catherine Ndungu,2026-02-16,Rebecca Wanjala
BP-2026-0131,ADM-1024,Tabitha Ndungu,Grade 1 A,Term 2,2026,12500,Bank Transfer,RTN-44374,Catherine Ndungu,2026-05-07,Andreah Smithh
BP-2026-0132,ADM-1024,Tabitha Ndungu,Grade 1 A,Term 3,2026,2500,M-PESA,QWH-65983,Catherine Ndungu,2026-09-23,Monica Wanjiru
BP-2026-0133,ADM-1024,Tabitha Ndungu,Grade 1 A,Term 3,2026,1800,M-PESA,QWH-72601,Catherine Ndungu,2026-09-29,Monica Wanjiru
BP-2026-0134,ADM-1024,Tabitha Ndungu,Grade 1 A,Term 3,2026,4700,M-PESA,QWH-23696,Catherine Ndungu,2026-10-14,Monica Wanjiru
BP-2026-0135,ADM-1025,Mark Kioko,Grade 1 A,Term 1,2026,13200,Cash,CSH-27199,Mark Kioko,2026-01-17,Andreah Smithh
BP-2026-0136,ADM-1025,Mark Kioko,Grade 1 A,Term 1,2026,16800,Cheque,CHQ-61365,Mark Kioko,2026-01-27,Andreah Smithh
BP-2026-0137,ADM-1025,Mark Kioko,Grade 1 A,Term 2,2026,5700,Bank Transfer,RTN-85826,Mark Kioko,2026-06-03,Rebecca Wanjala
BP-2026-0138,ADM-1025,Mark Kioko,Grade 1 A,Term 2,2026,9300,Cheque,CHQ-24157,Mark Kioko,2026-05-28,Andreah Smithh
BP-2026-0139,ADM-1026,Eric Obiero,Grade 1 A,Term 1,2026,16100,M-PESA,QWH-15614,Beatrice Obiero,2026-01-28,Andreah Smithh
BP-2026-0140,ADM-1026,Eric Obiero,Grade 1 A,Term 1,2026,13900,Cash,CSH-10720,Beatrice Obiero,2026-01-26,Rebecca Wanjala
BP-2026-0141,ADM-1026,Eric Obiero,Grade 1 A,Term 2,2026,8100,M-PESA,QWH-29757,Beatrice Obiero,2026-05-21,Andreah Smithh
BP-2026-0142,ADM-1026,Eric Obiero,Grade 1 A,Term 2,2026,2700,Cash,CSH-40022,Beatrice Obiero,2026-06-08,Rebecca Wanjala
BP-2026-0143,ADM-1026,Eric Obiero,Grade 1 A,Term 2,2026,4200,Cash,CSH-10248,Beatrice Obiero,2026-06-30,Monica Wanjiru
BP-2026-0144,ADM-1026,Eric Obiero,Grade 1 A,Term 3,2026,2700,Cash,CSH-63546,Beatrice Obiero,2026-10-03,Monica Wanjiru
BP-2026-0145,ADM-1026,Eric Obiero,Grade 1 A,Term 3,2026,1000,Cash,CSH-15008,Beatrice Obiero,2026-10-09,Andreah Smithh
BP-2026-0146,ADM-1026,Eric Obiero,Grade 1 A,Term 3,2026,2700,Cash,CSH-66738,Beatrice Obiero,2026-10-11,Rebecca Wanjala
BP-2026-0147,ADM-1027,Michael Ndolo,Grade 1 A,Term 1,2026,10100,Bank Transfer,RTN-63538,Patrick Ndolo,2026-01-20,Andreah Smithh
BP-2026-0148,ADM-1027,Michael Ndolo,Grade 1 A,Term 1,2026,6300,Cash,CSH-44704,Patrick Ndolo,2026-02-02,Rebecca Wanjala
BP-2026-0149,ADM-1027,Michael Ndolo,Grade 1 A,Term 1,2026,13600,Cash,CSH-90307,Patrick Ndolo,2026-02-19,Monica Wanjiru
BP-2026-0150,ADM-1027,Michael Ndolo,Grade 1 A,Term 2,2026,5800,Bank Transfer,RTN-38103,Patrick Ndolo,2026-05-12,Rebecca Wanjala
BP-2026-0151,ADM-1027,Michael Ndolo,Grade 1 A,Term 2,2026,9200,M-PESA,QWH-41876,Patrick Ndolo,2026-06-04,Andreah Smithh
BP-2026-0152,ADM-1027,Michael Ndolo,Grade 1 A,Term 3,2026,2400,M-PESA,QWH-54686,Patrick Ndolo,2026-10-01,Monica Wanjiru
BP-2026-0153,ADM-1027,Michael Ndolo,Grade 1 A,Term 3,2026,2300,Cash,CSH-33165,Patrick Ndolo,2026-10-07,Rebecca Wanjala
BP-2026-0154,ADM-1028,Lawrence Chemtai,Grade 1 A,Term 1,2026,5900,Bank Transfer,RTN-10189,Brenda Chemtai,2026-01-25,Andreah Smithh
BP-2026-0155,ADM-1028,Lawrence Chemtai,Grade 1 A,Term 1,2026,7900,M-PESA,QWH-23769,Brenda Chemtai,2026-01-27,Rebecca Wanjala
BP-2026-0156,ADM-1028,Lawrence Chemtai,Grade 1 A,Term 2,2026,3900,Cash,CSH-15054,Brenda Chemtai,2026-05-25,Rebecca Wanjala
BP-2026-0157,ADM-1028,Lawrence Chemtai,Grade 1 A,Term 2,2026,11100,Cheque,CHQ-37245,Brenda Chemtai,2026-06-03,Rebecca Wanjala
BP-2026-0158,ADM-1029,Emmanuel Njenga,Grade 1 A,Term 1,2026,6000,Bank Transfer,RTN-57173,Frank Njenga,2026-01-09,Monica Wanjiru
BP-2026-0159,ADM-1029,Emmanuel Njenga,Grade 1 A,Term 1,2026,15600,Bank Transfer,RTN-74940,Frank Njenga,2026-01-30,Monica Wanjiru
BP-2026-0160,ADM-1029,Emmanuel Njenga,Grade 1 A,Term 2,2026,16000,M-PESA,QWH-71806,Frank Njenga,2026-05-25,Monica Wanjiru
BP-2026-0161,ADM-1029,Emmanuel Njenga,Grade 1 A,Term 3,2026,2100,M-PESA,QWH-30660,Frank Njenga,2026-09-26,Rebecca Wanjala
BP-2026-0162,ADM-1029,Emmanuel Njenga,Grade 1 A,Term 3,2026,1900,Cheque,CHQ-43622,Frank Njenga,2026-09-26,Andreah Smithh
BP-2026-0163,ADM-1030,Yvonne Karanja,Grade 1 A,Term 1,2026,11700,M-PESA,QWH-29919,Rebecca Karanja,2026-01-27,Monica Wanjiru
BP-2026-0164,ADM-1030,Yvonne Karanja,Grade 1 A,Term 1,2026,5200,Cash,CSH-78928,Rebecca Karanja,2026-02-14,Andreah Smithh
BP-2026-0165,ADM-1030,Yvonne Karanja,Grade 1 A,Term 1,2026,13100,Bank Transfer,RTN-63945,Rebecca Karanja,2026-02-12,Monica Wanjiru
BP-2026-0166,ADM-1030,Yvonne Karanja,Grade 1 A,Term 2,2026,4900,Cash,CSH-43043,Rebecca Karanja,2026-05-22,Rebecca Wanjala
BP-2026-0167,ADM-1030,Yvonne Karanja,Grade 1 A,Term 2,2026,5400,Bank Transfer,RTN-13284,Rebecca Karanja,2026-06-14,Rebecca Wanjala
